#
#  aracyc 22.6 Pathways link table generated on Tue Nov 27, 2018
#
PWY-6543	4-aminobenzoate biosynthesis	pABA biosynthesis	plastidial PABA biosynthesis	PABA biosynthesis in plastids	<i>p</i>-aminobenzoate biosynthesis
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	UDP-<i>N</i>-acetylgalactosamine biosynthesis
PWY-5041	<i>S</i>-adenosyl-L-methionine cycle II	activated methyl cycle	SAM cycle
LYSINE-DEG2-PWY	lysine degradation II	lysine degradation I
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	<i>Arabidopsis</i> anthocyanin A11 biosynthesis
PANTO-PWY	phosphopantothenate biosynthesis I	vitamin B<sub>5</sub> biosynthesis
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	vitamin B<sub>6</sub> salvage I
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	L-glutamate biosynthesis	L-arginase degradative pathway	arginase degradative pathway	glutamate biosynthesis
PWY-6605	adenine and adenosine salvage II	adenosine nucleosides salvage II
MALATE-ASPARTATE-SHUTTLE-PWY	L-aspartate degradation II	malate/L-aspartate shuttle pathway	malate/aspartate shuttle pathway
PWY-5138	unsaturated, even numbered fatty acid &beta;-oxidation	fatty acid &beta;-oxidation IV (unsaturated, even number)
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	octanoyl-ACP biosynthesis (mitochondria, yeast)
PWY-6219	indole-3-acetyl-amide conjugate biosynthesis	IAA-amino acid conjugate biosynthesis	indole-3-acetyl-amino acid conjugate biosynthesis	IAA-amide conjugate biosynthesis
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	sucrose biosynthesis (from Calvin cycle intermediates)	sucrose biosynthesis I (from Calvin cycle intermediates)	sucrose biosynthesis I
PWY-6546	brassinosteroids inactivation	
PWY-5957	L-nicotianamine biosynthesis	NA biosynthesis
PWY-7208	superpathway of pyrimidine nucleobases salvage	
PWY-7183	pyrimidine nucleobases salvage I	uracil salvage
PWY-5968	cinnamate esters biosynthesis	
PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	
PWY-5466	matairesinol biosynthesis	
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
PWY-5934	iron reduction and absorption	Fe(III)-reduction	Fe(II) transport	Fe(III)-chelation and Fe(II) transport	strategy I iron uptake
PWY-2161	folate polyglutamylation	
PWY-3301	sinapate ester biosynthesis	
CAMALEXIN-SYN	camalexin biosynthesis	
PWY-7325	salvigenin biosynthesis	
PWY-6931	seleno-amino acid detoxification and volatilization I	Se volatilization I	Se-compound volatilization I	Se-amino acid detoxification and volatilization I	dimethyl selenide biosynthesis |
PWY-6363	D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	
PWY-5115	GDP-L-galactose biosynthesis	
PWY-6164	3-dehydroquinate biosynthesis I	
PWY-5142	acyl-ACP thioesterase pathway	
THIOREDOX-PWY	thioredoxin pathway	
DETOX1-PWY-1	reactive oxygen species degradation	removal of superoxide radicals
PWY-5120	geranylgeranyl diphosphate biosynthesis	GGPP biosynthesis
PWYQT-4449	polyisoprenoid biosynthesis	
PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	
PWYQT-4445	pyrimidine salvage pathway	
PWY-5530	sorbitol biosynthesis II	
PWY-6406	salicylate biosynthesis I	salicylic acid biosynthesis
PWY-5063	phytyl diphosphate biosynthesis	phytyl pyrophosphate biosynthesis	phytyl-PP biosynthesis
PWY-5391	syringetin biosynthesis	
PWYQT-4473	glucosinolate biosynthesis from tetrahomomethionine	
PWY0-1182	trehalose degradation II (trehalase)	
PWY-6621	salicylate glucosides biosynthesis I	2,5-dihydroxybenzoate 2-O-&beta;-D-glucoside biosynthesis	2,5-dihydroxybenzoic acid 2-O-&beta;-D-glucoside biosynthesis	salicylic acid glucosides biosynthesis I
PWY-6352	3-phosphoinositide biosynthesis	phosphatidylinositol-3,4-bisphosphate biosynthesis	phosphatidylinositol 3-phosphate biosynthesis	phosphatidylinositol-3,4,5-triphosphate biosynthesis
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	riboflavin, FMN and FAD biosynthesis	vitamin B<sub>2</sub> biosynthesis
PWY-4661	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	lipid-independent phytic acid biosynthesis	lipid-independent InsP<sub>6</sub> biosynthesis	lipid-independent phytate biosynthesis	hexakisphosphate biosynthesis (lipid-independent)	phytate biosynthesis
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	
PWY-2541	plant sterol biosynthesis	
PWY-6220	jasmonoyl-amino acid conjugates biosynthesis I	JA-amino acid conjugates biosynthesis	jasmonate-amino acid conjugates biosynthesis	jasmonyl-amino acid conjugates biosynthesis	jasmonoyl-amino acid biosynthesis
PWY-5410	traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis	13-lipoxygenase and 13-hydroperoxide lyase pathway	13-LOX and 13-HPL pathway
PWY-3101	flavonol biosynthesis	
PWY-5068	chlorophyll cycle	chlorophyll <i>b</i> biosynthesis
ASPASN-ARA-PWY	superpathway of aspartate and asparagine biosynthesis	interconversion of aspartate and asparagine
PWY-6498	eumelanin biosynthesis	melanochrome biosynthesis	melanogenesis
PWY-7468	benzoyl-&beta;-<i>D</i>-glucopyranose biosynthesis	benzoyl-&beta;-<i>D</i>-glucose biosynthesis
PWY-5129	sphingolipid biosynthesis (plants)	ceramide biosynthesis (plants)
PWY-4	UDP-D-galacturonate biosynthesis II (from D-galacturonate)	UDP-D-galacturonate biosynthesis (salvage pathway)
PWY0-1021	L-alanine biosynthesis III	
GLUCONEO-PWY	gluconeogenesis I	
PWY-2841	cytokinins degradation	Cytokinins oxidation
PWY-6	GDP-L-fucose biosynthesis II (from L-fucose)	GDP-L-fucose biosynthesis (salvage pathway)
PWY-5791	1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	DHNA biosynthesis
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	
PWY-6317	D-galactose degradation I (Leloir pathway)	Leloir pathway
PWY0-501	lipoate biosynthesis and incorporation I	
PWY-5377	&alpha;-amyrin biosynthesis	
PWY-7061	glutamate-glutamine shuttle	
VALSYN-PWY	L-valine biosynthesis	
PWY-601	glucosinolate biosynthesis from tryptophan	indolylmethyl glucosinolate biosynthesis
PWY-5313	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside)	
PWY-5160	rose anthocyanin biosynthesis I (via cyanidin 5-<i>O</i>-&beta;-<i>D</i>-glucoside)	
PWY-6014	vernolate biosynthesis I	vernolic acid biosynthesis I
PWY-7140	myricetin gentiobioside biosynthesis	
PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis	spermidine phenylpropanoid conjugates biosynthesis	polyamine conjugates biosynthesis
PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	L-asparaginyl-tRNA<sup>asn</sup> biosynthesis via transamidation	asparaginyl-tRNA<sup>asn</sup> biosynthesis via transamidation
ALACAT2-PWY	L-alanine degradation II (to D-lactate)	
PWY-5086	chlorophyll <i>a</i> biosynthesis I	
PWY-401	galactolipid biosynthesis I	galactosylglyceride biosynthesis I	glycosylglyceride biosynthesis
PWY-5905	hypusine biosynthesis	
PWY-6066	IAA biosynthesis VII	IAA biosynthesis via IBA	indole-3-acetic acid biosynthesis via indole-3-butyric acid
PWY4FS-4	phosphatidylcholine biosynthesis IV	
PWY-2161B-PMN	folate polyglutamylation II	
PWY-5194	siroheme biosynthesis	
PWY-5995	linoleate biosynthesis I (plants)	
PWY-5998	&gamma;-linolenate biosynthesis I (plants)	
PWY-4841	UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol)	UDP-D-GlcA biosynthesis	UDP-D-glucuronic acid biosynthesis	inositol oxidation pathway
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	
PWY-6930	phenolic malonylglucosides biosynthesis	
KDOSYN-PWY	Kdo transfer to lipid IV<sub>A</sub> I	
PWY-6556	pyrimidine ribonucleosides salvage II	
PWY-5111	CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)	CMP-3-deoxy-D-<i>manno</i>-octulosonate biosynthesis
PWY-5690	TCA cycle II (plants and fungi)	TCA cycle -- aerobic respiration	tricarboxylic acid cycle	citric acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
PWY-2881	cytokinins 7-<i>N</i>-glucoside biosynthesis	cytokinins conjugates biosynthesis
PWY-581	indole-3-acetate biosynthesis II	auxin biosynthesis	indole-3-acetic acid biosynthesis	IAA de novo synthesis	IAA biosynthesis II
ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway)	L-arginine dihydrolase pathway	L-arginine deiminase degradation
PWY-4302	aerobic respiration III (alternative oxidase pathway)	aerobic respiration -- alternative oxidase pathway	aerobic respiration -- electron donor III	alternative oxidase pathway
PWY-7101	5-deoxystrigol biosynthesis	
PWY-5884	wax esters biosynthesis I	jojoba wax biosynthesis	liquid seed wax biosynthesis
PWY-7120	esterified suberin biosynthesis	
PWY-5337	stachyose biosynthesis	raffinose biosynthesis
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	CMP-Kdo biosynthesis I
PWY-5114	UDP-sugars interconversion	
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	purine biosynthesis 2
PWY-5386	methylglyoxal degradation I	
XYLCAT-PWY	xylose degradation I	xylose catabolism
PWY-7204	pyridoxal 5'-phosphate salvage II (plants)	vitamin B6 salvage (plants)
PWY-1186	L-homomethionine biosynthesis	L-methionine chain elongation pathway	methionine chain elongation pathway
PWY-7436	vitamin E biosynthesis (tocotrienols)	tocotrienol biosynthesis
PWY-7039	phosphatidate metabolism, as a signaling molecule	PA metabolism
PWY-3385	choline biosynthesis I	
PWY-6051	2,4,6-trinitrotoluene degradation	TNT degradation
PWY-6137	copper transport II	copper transport in roots
PWY-7432	L-phenylalanine biosynthesis III (cytosolic, plants)	
PWY-701	L-methionine degradation II	methionine degradation 2
PWY-7270	L-methionine salvage cycle II (plants)	5'-methylthioadenosine cycle	superpathway of L-methionine recycling (plants)	MTA cycle	Yang cycle
PWY4FS-12	VTC2 cycle	GDP-D-mannose biosynthesis
PWY-5267	glucosinolate activation	glucosinolate breakdown	glucosinolate hydrolysis	glucosinolate activation	glucosinolate degradation
PWY-6666	pyocyanin biosynthesis	
PWY-4341	L-glutamate biosynthesis V	
PWY-2	putrescine degradation IV	
PWY-5350	thiosulfate disproportionation IV (rhodanese)	
CYSTSYN-PWY	L-cysteine biosynthesis I	
ARGININE-SYN4-PWY	L-ornithine biosynthesis II	arginine biosynthesis 4
PWY-6724	starch degradation II	starch mobilization in chloroplast stroma	transitory starch degradation in chloroplast stroma	starch degradation in chloroplast stroma
PWY-6754	<i>S</i>-methyl-5'-thioadenosine degradation I	
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	L-homocysteine degradation
PWY4FS-2	phosphatidylcholine biosynthesis II	
PWY-4765	superpathway of lipid-dependent phytate biosynthesis	
PWY-7158	L-phenylalanine degradation V	
PWY-2501	fatty acid &alpha;-oxidation I	fatty acid &alpha;-oxidation
COMPLETE-ARO-ARA-PWY	superpathway of phenylalanine, tyrosine and tryptophan biosynthesis	complete aromatic amino acid biosynthesis	aromatic amino acid biosynthesis
PWY-7625	phosphatidylinositol biosynthesis II (eukaryotes)	L-1-phosphatidyl-inositol biosynthesis II (eukaryotes)
PWY-5381	pyridine nucleotide cycling (plants)	Preiss-Handler salvage pathway
PWY-6266-ARA	superpathway of flavones and derivatives biosynthesis	
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	asparagine degradation 1
PWY-6441	spermine and spermidine degradation III	polyamine degradation III
PWY-282	cuticular wax biosynthesis	
PWY-5049	rosmarinic acid biosynthesis II	
PWY-6792	scopoletin biosynthesis	
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein <i>N</i>-glycosylation (eukaryotic, high mannose)	dolichyl-diphosphooligosaccharide biosynthesis and attachment	eukaryotic <i>N</i>-linked glycosylation	mannosyl-chito-dolichol biosynthesis	<i>N</i>-linked glycosylation
TRPSYN-PWY	L-tryptophan biosynthesis	
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)	L-ascorbic acid biosynthesis I	vitamin C biosynthesis	ascorbic acid biosynthesis	L-ascorbate biosynthesis	Smirnoff-Wheeler pathway
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	GDP-L-fucose biosynthesis I (<i>de novo</i> synthesis)
PWY-6348	phosphate acquisition	
PWY-5064	chlorophyll <i>a</i> biosynthesis II	
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol biosynthesis
PWY-6577	farnesylcysteine salvage pathway	farnesylcysteine detoxification pathway	(<i>E,E</i>)-farnesyl diphosphate biosynthesis II	all <i>trans</i>-farnesyl diphosphate biosynthesis II	farnesylcysteine from farnesylated protein salvage pathway
DETOX1-PWY	superoxide radicals degradation	removal of superoxide radicals
PWY-5340	sulfate activation for sulfonation	sulfation pathway
PWY-6483	ceramide degradation	
PWY-2821	glucosinolate biosynthesis from phenylalanine	
PWY0-1325	superpathway of L-asparagine biosynthesis	
PWY-5287	sanguinarine and macarpine biosynthesis	
PWY-5481	pyruvate fermentation to lactate	
PWY-6710	poly-hydroxy fatty acids biosynthesis	free fatty acid epoxidation via a P450
SULFMETII-PWY	sulfate reduction II (assimilatory)	sulfur metabolism	sulfur assimilation
PWY-782	glycolipid desaturation	fatty acid desaturation	polyunsaturated glycolipid biosynthesis
PWY-7344	UDP-D-galactose biosynthesis	
PWY-6802	salidroside biosynthesis	
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	
PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)	
PWY-6304	casbene biosynthesis	
PWYQT-4475	glucosinolate biosynthesis from hexahomomethionine	
PWY-5944	zeaxanthin biosynthesis	
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	
PWYQT-4471	glucosinolate biosynthesis from dihomomethionine	test
PWY-2902	cytokinin-<i>O</i>-glucosides biosynthesis	
PWY-5997	&alpha;-linolenate biosynthesis I (plants and red algae)	
PHOTOALL-PWY	oxygenic photosynthesis	C3 photosynthesis
PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis	
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate	
PWY-861	dhurrin biosynthesis	
PWY-5723	Rubisco shunt	
PWY-1881	formate oxidation to CO<sub>2</sub>	
PWYQT-4477	indole glucosinolate activation (intact plant cell)	indole glucosinolate breakdown (intact plant cell)	indole glucosinolate breakdown (the PEN2 pathway)	glucosinolate activation	glucosinolate degradation
PWY0A-6303	methyl indole-3-acetate interconversion	MeIAA interconversion	Methyl IAA biosynthesis	MeIAA biosynthesis
PWY-7196	superpathway of pyrimidine ribonucleosides salvage	
